field_key,scope_class,knowledge_category,status,owner,in_node_entry_struct,node_entry_member,persisted,persistence_notes,exported_over_ble,ble_record_offset,ble_bytes,sent_on_air,packet_name_canon,on_air_contract_ref,wire_bytes_fixed,wire_optional,logical_type,units_scaling,min_value,max_value,bits_needed_min,tier,default_cadence,trigger_type,threshold_rule,staleness_ttl_hint,notes,producer_status,source
node_id,Core,Identity,Canon,NodeOwned,Y,node_id,Y,BLE snapshot,Y,0,8,Y,all Node_*,beacon_payload_encoding_v0 §3,6,MUST,u48,6-byte LE MAC48,,,48,A Core,every beacon tick,periodic,,,Primary key; domain uint64 lower 48 bits.,Implemented,HW
payloadVersion,Core,Identity,Canon,NodeOwned,N,,N,,N,,,Y,all Node_*,beacon_payload_encoding_v0 §3,1,MUST,u8,0x00=v0,0,255,8,A Core,every beacon tick,periodic,,,Payload format version; first byte of payload.,Implemented,Config
positionLat,Core,Position,Canon,NodeOwned,Y,lat_e7,Y,BLE snapshot,Y,13,4,Y,Node_Core_Pos,beacon_payload_encoding_v0 §4.1,3,MUST,u24,lat_u24 packed; domain 1e-7 deg,,,24,A Core,every beacon tick when position valid,periodic,,,Core only with valid fix. BLE exports lat_e7 (i32).,Implemented,HW
positionLon,Core,Position,Canon,NodeOwned,Y,lon_e7,Y,BLE snapshot,Y,17,4,Y,Node_Core_Pos,beacon_payload_encoding_v0 §4.1,3,MUST,u24,lon_u24 packed; domain 1e-7 deg,,,24,A Core,every beacon tick when position valid,periodic,,,Core only with valid fix. BLE exports lon_e7 (i32).,Implemented,HW
ref_core_seq16,Core,Activity,Canon,NodeOwned,Y,last_core_seq16 (stored); ref in payload,Y,stored for Tail-1 match,N,,,Y,Node_Core_Tail,tail1_packet_encoding_v0 §3,2,MUST,u16,Core linkage key,,,16,B Tail-1,every Core_Tail,periodic,,,Back-reference to Core sample seq16; distinct from seq16 in Common.,Implemented,HW
seq16,Core,Activity,Canon,NodeOwned,Y,last_seq,Y,BLE snapshot,Y,24,2,Y,all Node_*,beacon_payload_encoding_v0 §3; field_cadence_v0 §2,2,MUST,u16,LE; global per-node counter,0,65535,16,A Core,every beacon tick,periodic,,,"Dedupe key (nodeId48, seq16). last_seq in NodeEntry.",Implemented,HW
fwVersionId,Informative,Identity,Canon,NodeOwned,Y,fw_version_id,Y,in NodeEntry,N,,,Y,Node_Informative,info_packet_encoding_v0 §3.2,2,OPT,u16,0xFFFF=not present,,,16,C Tail-2,on change + every 10 min,periodic,,,,Implemented,Config
hwProfileId,Informative,Identity,Canon,NodeOwned,Y,hw_profile_id,Y,in NodeEntry,N,,,Y,Node_Informative,info_packet_encoding_v0 §3.2,2,OPT,u16,0xFFFF=not present,,,16,C Tail-2,on change + every 10 min,periodic,,,,Implemented,Config
maxSilence10s,Informative,Activity,Canon,NodeOwned,Y,max_silence_10s,Y,in NodeEntry,N,,,Y,Node_Informative,info_packet_encoding_v0 §3.2,1,OPT,u8,10s steps; 0=absent,0,255,8,C Tail-2,on change + every 10 min,periodic,,,Liveness hint; MUST NOT send on every Operational. Tier C.,Implemented,Config
lastRxAt,Injected,Activity,Canon,ReceiverInjected,Y,last_seen_ms,Y,same as last_seen_ms in code,N,,,N,,link-telemetry-minset-v0 Table A,,,timestamp,receiver clock,,,,Derived/Injected,on RX,event-driven,,,Canon name; firmware uses last_seen_ms.,Implemented,Injected
